Name;Month;Star;Comment
Ural;1;1;"Стоят на посадке и проверяют ручную кладь. Оштрафовали за превышение на стоимость билета! Аэропорт Домодедово
Более с этой компанией не буду летать. Летаю часто. 
Будьте внимательны. 
Не рекомендую данную компанию!
Пользуются ситуацией и угрозой не допуска на рейс!
Поведение компании по принципу ГИБДД!
"
Ural;1;1;Знайте одно, если вы летите этой авиакомпанией не из точки А  в точку Б, а будете пересаживатся на другой самолёт то зазор между рейсами должен быть минимум 8-12 часов. Вы вроде все продумали все купили, чтобы не долго сидеть между перелетами, но эта авиакомпания устроит вам экстрим с переносами рейсов без объективных причин, просто один рейс схлопывают и делают из двух один который позже.. 
Ural;1;1;На три часа задержали рейс и потеряли багаж. Супер-сервис!!!
Ural;1;1;"Задержка с 12:40 до 16:20 и еще раз до 17:30.
Пять часов ,  класс. Знакомый работает в сфере обслуживания ,  когда гости просят купить билет ,  сразу говорят только не Уральскими,  т.к. задержки вылета у них норма. Жаль узнала поздно."
Ural;1;1;Все рейсы этой авиакомпании задерживают! Все, без исключения… у них явно какие то проблемы, потому что самолет грязный, салфеток для головы нет, журналов нет - вода есть, это бы ничего, но повторю задержки всех рейсов, народ держат за скот, отсутствие какой либо информации реальном времени вылета и причинах.. 08.01.22 Екатеринбург-Санкт-Петербург задержка 10 часов.. по возможности сторонитесь этих ребят, в результате встанет дороже, а потраченные силы и нервы вообще не оценить)
Ural;1;1;В этой компании часов не наблюдают. Для чего расписание регулярных рейсов - не понятно. Летели в день рождения ребёнка, поэтому принципиально важно было вылететь рейсом в 16.00. Но следующий рейс на 17.30 вылетел раньше нашего. На горячей линии Уральских авиалиний сотрудники претензии не принимают и отправляют писать письма. От их извинений ни горячо, ни холодно. Просто отвратные авиалинии, в очередной раз разочаровали. Не советую летать ими ни в какой ситуации. Их билеты купила не из-за низкой цены, а именно из-за конкретного времени вылета. Фактически вылет был в 19 часов.
Ural;1;1;"08.01.2022 мы должны были улететь в Петербург из Хургады в 09:15 рейсом u67306. По приезду в аэропорт время перенесли на 10:30, всех зарегистрировали, мы дождались времени посадки, но не улетели даже в 11-00, потому что при начале посадки местные представители службы организации перевозок заявили пассажирам, что в самолёте не хватает 5 мест и пассажиры рейса должны инициативно принять решение, кто не летит, иначе самолёт не полетит вообще. Потом они предложили идею-шантаж автоматического отбора «добровольцев». Толпа взволновалась и начали активнее решать и думать. Из добровольцев вызвались 2 семейных пары , среди которых были и мы с предложенным условием, что мы нас отправят 09.01.22 таким же прямым рейсом, обеспечив жильём и едой. Пассажиры решили, что одного из детей кто-то возьмёт на руки, таким образом, недостающее 5-е  место как раз и закроется (пилот, видимо, согласился на нарушение правил). Люди нас поблагодарили и благополучно улетели и долетели. Мы рады, что мы помогли. Но нас позже местные работники аэропорта замучали  до такой степени, что слов нет, чтобы передать((( без еды, без воды, без сна, нас, шантажируя, отправили поздним вечером через Москву с пересадкой и ожиданием 10 часов, мы прилетели в Петербург около 13-00. Переговоры с туроператором и прочими структурами к действенным результатам не привели. Прекращайте продавать билетов больше, чем мест в самолете, больше денег все-равно не заработаете, это плохая схема!!!
"
Ural;1;1;Хуже авиакомпании просто не знаю. Прямо сейчас сижу в аэропорту в ожидании посадки на задержанный уже на 7,5 При чем о первоначальной задержки на 5 часов было заранее сообщено, а о последующей ещё как минимум на 2,5 сообщают уже по факту за 5 минут до озвученного ранее времени вылета.
Ural;1;1;Не очень понятно, что происходит в этой компании и как могут быть настолько не отлажены процессы. Жуткие задержки по всем направлениям. Мой рейс Иркутск-Москва 08.01.2022  был задержан на 1,5 часа без предварительного уведомления, а трансферный рейс Москва-Спб задержали на 2, и такая ситуация происходит не в первый раз.  
Ural;1;4;Авиакомпания как и все другие! Не больше и не меньше!
Ural;1;4;Неплохие авиалинии, задержка рейса обычное дело. Питаниеи бизнесе среднее. Летали с семьёй в Калининград, понравилось и нам и детям
Ural;1;3;Занизил оценку, за обычное для авиакомпаний дело - это не возвращать стоимость билетов в случае отказа пассажира лететь по состоянию здоровья, хотя была сделана справка в здравпункте аэропорта. Мурыжили меня как только могли: сначала сказали на сайте заявку на возврат оставить, потом типа надо в офис подойти в аэропорте, потом оказывается все таки через сайт, на сайте ответ пришел, что нужно письмо писать на центральный офис, я это письмо почтой россии отправил уже больше трех месяцев назад, а ответа так и нет. Верните десять тыщ.
Ural;2;1;Самая худшая авиакомпания
Ural;2;2;Летающие маршрутки с ужасным сервисом.
Ural;2;1;Самая отвратительная авиакомпания
Ural;2;1;Алчность- порождает бедность
Ural;2;1;Если вдруг Вы собираетесь лететь данной авиакомпанией, то я бы рекомендовал почитать отзывы и хорошо подумать!)
Ural;2;1;Бизнес класс -оказался эконом
Ural;2;1;Самая ужасная и ненадежная компания
Ural;2;5;Бортпроводники
Ural;2;1;"Нет слов, одни эмоции.

Должны были улетать в 20:00, в итоге взлетим только в 1:00!!!!
На 5 часов задержали рейс.

Рядом не сажают.
"
Ural;2;1;Летали чартером в Хургаду из Питера и обратно. В обоих случаях сам экипаж опаздывал на свой же рейс (на 1 час и на 35 минут) - позор  !!!  И самая главная разводка этой компании  -  раскидать всю семью (из 4х и 3х человек) по всему самолёту при наличии свободных мест  , чтобы пассажиры доплачивали за то, чтобы сидеть вместе по 1100₽ за место   !!!  Больше никогда и никому не посоветую  уральские авиалинии  -  ПОЗОР
Ural;2;3;"Летала уральскими авиалиниями лет 8 назад, все было хорошо, и кормили нормально и персонал вежливый и лейбл и самолетики красные.
Сейчас в феврале летала в Египет, персонал хамоватый, говорят одно, в итоге забывают, доплата за выбор места, если не платишь, то тебя и того с кем ты летишь сажают на разные ряды и потом в самолете все договариваются друг с другом о смене мест, зачем так делать - непонятно. При полете туда покормили какими-то бутербродами испорченными, потом мучала изжога, при полете обратно не кормили вообще, лейбл поменяли и сервис стал хуже некуда, лучше бы деньги потратили не на ребрендинг, а на сервис для клиента. Но спасибо, что туда и обратно вылетели без задержек, за это 3 звездочки. "
Ural;2;5;Я хотел поставить 5 звезд вашему сотруднику Рыжкина Екатерина Сергеевна которая работает в пулковском Санкт-Петербурге, я ей благодарен за её обслуживание и красивую улыбку))
Ural;2;5;"Отличная авиакомпания
Только работникам нужно повежливее с пассажирами и обслуживающим персоналом,а так все хорошо меня все устраивает пилоты молодцы конечно бывают срывы но редко"
Ural;2;4;Улететь смогла , покупала билет через интернет, рекомендую Аэрофлот.
Ural;2;1;"Отвратительные стюардессы!!!
Летел из Шарм Эль Шейха 10.02.2022г. в СПб.
ЖЕСТЬ!
В туалетах не убрано!!!((((((
Сделал им, сидящим в тлф за шторкой, они обиделись!( )))
Сказали мне, что они не убощицы!))"
Ural;2;1;Летим 11.02.2022, мало того, что первый рейс отменили и задержали на 4 часа, так ещё и новый самолет оказался короче, и место для багажа отсутвовало от слова совсем, не рекомендую эту авиакомпанию. Если что рейс Санкт-Петербург: Калининград....
Ural;2;1;"При регистрации на рейс онлайн - возникли проблемы с регистрацией супруги на сайте компании. 
Система не регистрировала ее,  т.к. в брони был трансфер на коляске по аэропорту.

При звонке службу 8 800... никакой помощи не получил.
Ни капли желания помочь, или даже сделать вид, что оно (желание помочь) есть...
Все на - ""отойдите""...  
Сотрудницу  даже не интересовал номер билета, который я ей намеривался сообщить.
Пассажира барышня окрестила ИНВАЛИДОМ (она доктор ,что ли ?). 
Несла ересь про ""определение мобильности на месте сотрудниками аэропорта"" (мобильность указывается в заявке на сопровождение заявителем).
Вишенкой на торте стал  ее высокомерный тон. 
Слова вроде все культурные, но полное ощущение ""хамства"".

От души желаю Uralairlines  вычислять подобных ""профессионалов"", и скорее прощаться с ними."
Ural;2;4;Летала пару раз туда-обратно по России и в Турцию. Без приключений. И на том спасибо.
Ural;3;1;"Ужасные (Уральские) авиалинии
Отвратительная Компания!!!!!!!
 Никогда не за какие деньги не летите !"
Ural;3;1;УЖАСНАЯ АВИАКОМПАНИЯ
Ural;3;1;Не советую
Ural;3;5;Отлично
Ural;3;1;Нам плевать на ваши проблемы
Ural;3;1;Бегите от этой компании
Ural;3;2;Плохая информированность пассажиров об изменении рейса
Ural;3;1;Ужасная компания!!!
Ural;3;1;Безответственность возведённая в степень!!!!
Ural;3;1;Ужасная компания ! Переносят, отменяю, теряю … не знаю, что хуже Уральские или ещё более ужастная компания
Ural;3;1;Не советую эту Авиакомпанию проста 0
Ural;3;2;Сотрудники компании на регистрации  в аэропорту Пулково крохоборы!!! Летели семьёй с ребёнком чартерный  рейс  и для того чтобы сесть  всем вместе  нам выписали чек пояснив , что за  рассадку отвечает компьютер , а он рассадил нас всех в разных местах. Подавитесь!!!! Какие сотрудники  такая и компания!!!
Ural;3;1;Билеты продаются А самолёт ✈отменяется а деньги также не сразу возвращается очень плохо всё не Каму не рекомендую 
Ural;3;3;Редко пишу отзывы но решил оставить, летаю уральскими авиалиниями СПБ-Узбекистан все нравится, очень вежливый персонал, быстрая регистрация, единственное как и у всех других авиакомпаний идет рост цен на билеты.
Ural;3;5;Очень много негативных отзывов - возмущение пассажиров понятно, сама бы возмущалась, конечно, когда не очень удачный полет, но хотелось бы добавить и положительных отзывов - ведь, когда все прошло хорошо, обычно не пишут. Мы не первый раз летаем Уральскими авиалиниями, и всегда нам везет - хорошие самолеты, приятный экипаж, без задержек, без эксцессов. Последний раз летали из Санкт-Петербурга в Сочи и обратно в сентябре 2021 г. Все прошло хорошо, вылет туда вовремя, обратно была задержка около часа по погодным условиям - в Сочи выпал град, задержали вылет. Ровный спокойный полет, приятные стюарды, вежливое обслуживание, комфортная сдача багажа (на небольшие перевесы по ручной клади и ее количеству не обратили внимания), хорошие взлет и посадка, адекватные цены на билеты. Никаких нареканий. Спасибо.
Ural;3;1;Постоянные задержки вылетов, неприбытие багажа, перенос рейсов без сохранения оплаченного тарифа.
Ural;3;1;"Ребята, если не хотите потратить нервишки и потерять кучу времени, убедительно настаиваю не пользоваться услугами данной авиакомпании. 13 марта рейс Санкт-Петербург- Ургенч, вылет в 7:55 посадка в 14:20, в итоге рейс перенести аж на 14 марта в 16:00!!!! Все бы ничего, если бы авиакомпания соизволила сообщить своим пассажирам о переносе, но куда уж там... Отслеживала свой рейс на онлайн табло Пулково и оттуда по счастливой случайности узнала, что рейс перенесли. Звонила  в Пулково - подтвердили перенос, сказали что это официальная информация. Далее звоню в авиакомпанию. Провисев в ожидании 30 мин. услышала от оператора такое "" да, на онлайн табло действительно вижу информацию о переносе, но в системе вылет все также без изменений в 7:55 так что все ок"" И что делать?! Ехать с багажом на такси за косарь или все таки нет? Звоню на другой номер той же авиакомпании, благо сразу взяли трубку, но не успела я обрадоваться, слышу в трубке хамоватую девушку. Спрашиваю у неё что с моим рейсом, она мне тут же отвечает "" его перенесли"" на мой вопрос ""почему не сообщаете о переносе"" она ответила "" мы этим сейчас и занимаемся"" (наглым, хамским тоном) Тут я уже поняла, что бессмысленно вообще что-либо говорить и положила трубку. Все бывает, но хамское отношение к своим же клиентам это дно. Очень разочарована в Уральских авиалиниях.  "
Ural;3;2;Летела  7 марта 2022 года из Алматы в Санкпетербург задержали рейс на 3 часа ,летели 5 часов не кормили перекусить дали бутерброд с чаем и стакан воды  и больше ничего хоть бы воды ещё предложили ,,равнодушные стюардесы.хотела купить тапочки чтобы раззуться чтоб ноги отдохнули так что  даже за деньги небыло не говоря без платных пользоваться компанией только  от без иссхожности
Ural;3;1;"Пунктуальность - первое слово, которое в этой компании видимо никогда не слышали. А планирование - второе незнакомое слово. Рейс должен был состояться в 21:15, за 2 часа перенесли на час ночи. ""Ну ничего"" - думаю, с кем не бывает. Проходишь регистрацию, дают посадочный, в нем уже новое время - 2 часа ночи. Думаешь опять ну ладно. В итоге перед посадкой говорят - рейс задержан до 7 утра. При этом в следующем городе у меня была пересадка. Хорошо, что на пересадку были сутки, а с этой компанией нужно брать в запас вообще 2. Самолёт и в 7 в итоге не вылетел, но люди уже абсолютно смирились с таким пофигизмом. Вопрос только один - в чем проблема просчёта? Если самолёт не успевает прилететь вовремя, то в чем проблема понять, во сколько он прилетит. Оставлю для себя одно объяснение - за время ожидания компания просто сделала новый самолёт. "
Ural;4;1;Рейс отменили.
Ural;4;1;Самая жуткая авиакомпания
Ural;4;1;Не возвращают деньги за отмененный рейс
Ural;4;1;ХУЖЕ АВИАКОМПАНИИ НЕТ !!!
Ural;4;1;Кидалы в деле
Ural;4;1;Ужаснее я не летала
Ural;4;1;Худшая авиакомпания - это Ural Airlines
Ural;4;1;Мошенники!!!
Ural;4;1;Не возвращают деньги за отмененный рейс.
Ural;4;1;Не возвращают деньги за билеты
Ural;4;1;Одни маты только про данную компанию...
Ural;4;1;Худшая авиакомпания России
Ural;4;1;Всё решается только через суд
Ural;4;1;Развод
Ural;4;1;Отвратительно и убого.
Ural;4;2;Отвратительная компания только потому, что регистрирует несовершеннолетних детей отдельно от родителей! Такого быть не должно!!! 
Ural;4;1;Были куплены места повышенной комфортности, но при сдаче багажа нам распечатали стандартные. Написаны и отправлены заявления, но вопрос по возврату средств не решается. Представительство шлет на горячую линию, те на почту, с почты не отвечают, кассы шлют в представительство.. БАРДАК!
Ural;4;1;"Покупала билеты СПБ - Хабаровск. При покупке указывалось что рейс прямой, за сутки до вылета на онлайн регистрации тоже рейс прямой, в Пулково при получении билета вдруг оказывается что трансфер в Екатеринбурге. Перелёт 11 часов в самолёте нет ни розеток подзарядить телефон, ни экранов что нибудь посмотреть или послушать, до прилёта в Екб в самолёте не предложили никакого перекуса или воды, только платные тележки. В Екб прямо во время посадки пассажиров попросили из автобуса вернуться в зал ожидания, работник компании на вопрос Что случилось ничего не ответил - молча собрал распечатки и ушёл. Спустя 1 час ожидания мы случайно!!!! увидели на табло, что наш рейс задержан на 4 часа. И ещё только через час после этого об этом сказали по громкоговорителю, а через 2,5 часа предложили бесплатную воду. Работники авиокомпании, не считая сотрудников на борту самолёта, очень грубые и язвительные хотя повода для грубости лично я им не давала никакого ибо всегда веду себя подчёркнуто вежливо. В целом это был мой самый ужасный опыт перелёта, данная авиокомпания по негативному опыту обошла даже ""победу""."
Ural;4;3;Заказали билеты в марте,чтобы полететь в июле в Сочи.Уже дважды переносили рейсы,как туда,так и обратно.Отпуск на море сократился на два дня.Обидно.Что дальше будет посмотрим
Ural;4;1;"Отношение к клиентам отвратительное, в текущей политической ситуации поставили везде автоответчики. Отменили рейс в феврале без предоставления замены, пришлось писать заявление на возврат, срок рассмотрения- 30 дней.
Сегодня 30ый день, как я отправила заявление на почту компании. Обратной связи никакой. Срок рассмотрения 30 дней, а возвращения денежных средств сколько будет? 90 дней?
"
Ural;4;1;Не возвращают деньги за возврат билета по возвратному тарифу более 30 дней. По правилам авиакомпании срок рассмотрения возврата 30 дней. Не отвечают на сообщения по электронной почте. Получается вернуть деньги за билет в этой авиакомпании целая проблема. Планирую жалобу в росавиацию, роспотребнадзор и подать в суд.
Ural;4;1;"Летаю очень часто (приходится именно этой компанией), задерживают практически каждый рейс из Екатеринбурга, приходится ждать в аэропорту от одного часа и больше задуманного.... Отвратительная компания, не рекомендую! Не бонусами не скидками это не стимулируют!
И да, когда сели в самолет, сотрудник аэропорта сидел внутри двигателя."
Ural;4;5;Отлично 
Ural;4;1;"Авиакомпания не возвращает деньги за билет!!!

Я покупал билет который можно вернуть даже после вылета рейса. Возврат оформил письмом на почту за день до вылета. На сайте указано что заявка будет рассмотрена в течение 30 дней. Но прошло уже полтора месяца и НИКАКОГО ответа я не получил. Я писал неделю назад узнать статус заявления, на что пришёл ответ что оно зарегистрировано и не нужно подавать повторно.
Никогда больше не куплю билеты в этом помойном ведре как писали здесь в отзывах, иначе эту авиакомпанию назвать сложно."
Ural;4;1;"Самая худшая авиакомпания в мире!
Сплошное вранье, онлайн сервисы на низком уровне..... Желаю Вам быстрее обанкротиться и исчезнуть с рынка авиа перевозок......"
Ural;4;1;Отвратительный персонал!..Стюардесс мужчина наорал на женщину незнающию русского языка(я на тот момент ехала в узбекистан)Орал чуть ли не матом! Еды НЕТУ дают 2 бутерброда на 7 часов полета,да еще меня от них тошнило!!!Зашла в салон а там на полу,внизу моего сиденье крошки!!!открыла стол там ТОЖЕ КРОШКИ!отвратительная компания!Забыла добавить что еще долгие задержки,задержали самолет на 3-4 часа,когда пошли забирать чамоданы обнаружили треск☹️Не советую ехать на этой авиалинии)это произошло тем летом,надеюсь этим летом полечу на авиакомпании узбекистан,более лучшей где очень приятный и хороший благополучный персоналсгде всегда чисто и аккуратно,+вкусная еда
Ural;4;5;Оформили возврат из за ковида в мае 2021 и все деньги нам вернули, купили билеты на июль из СПб в Симферополь, на обратном пути сильно трясло, я с испуга заволновалась, стюардессы успокоили. Персонал доброжелательный. Спасибо пилотам.
Ural;4;1;пожалуй это самая убогая авиакомпания! не однократно перелет с уральскими авиалиниями становится какой то проблемой раз за разом! но в этот раз совсем убили! семья осталась за бугром, пришло сообщение что за 5 дней что рейс отменен, ну так будьте вы людьми а не скотами! вам заявление на возврат согласно вашей инструкции отправили на адрес эл.почты, так спустя ДНИ вы отвечаете в ответ что якобы этот способ возврата ДС ошибочный и теперь надо на ваш адрес в ЕКБ оправлять письмо??? вы в своем уме? супруга за бургом! она физически как покупатель этих билетов не может вам письмо отправить. ни до какого вашего номера не дозвониться! на авиакассах девочки вообще не в курсе что такое возврат билета, просто целая порция негатива и нервов.. 
Ural;4;1;"Добрый день. Летели чартером из Адлера в Санкт-Петербург 25.03.2022 Система АВТОМАТИЧЕСКИ посадила мама с инфатом и ребенком рядом на места 2А 2В, а меня на 30С, что бы маме было максимально комфортно с двумя детьми провести незабываемые четыре с половиной часа полета. Что бы вместе сесть пришлось оплатить места рядом, причем пришлось платить за все три места 2А, 2В, 2C - 7400 р. На места с бОльшим местом под ноги не пустили, после того как выяснилось что оплатить система не дает, т.к. дети, т.е. оператор ни сном ни духом о правилах своей же компании. 

И самое удивительное, через одного пасажира садят знакомую семью всех в один ряд и маму, и папу, и ребенка 2 лет.

Подошел какой-то сотрудник компании, выслушал и сказал что разберется. Больше мы его не видели, а от компании ничего.

Судя по отзыву ранее смысла писать в компанию официальных писем нет, т.к. они попросту игнорируются.

Настоятельно не рекомендую данную авиакомпанию. В сравнении с RedWings, летевшим в тот же день из Египта в Адлер, нас посадили рядом без доплат, а в самолете на стандартных рядах места минимум в два раза больше как в ширину спинки кресла, так и в длинну."
Ural;5;1;Последний перелет данной компанией
Ural;5;1;Отменяют рейсы по своему желанию! Без компенсации и объяснения причин. Отпуск сорван!
Ural;5;1;Сервис не высок
Ural;5;1;Никакой обратной связи, всем плевать
Ural;5;1;Не сообщают о задержке рейса, не предоставляют питание
Ural;5;1;Ужасная авиакомпания!!!
Ural;5;5;Все прошло без проблем
Ural;5;2;Полет Сочи - Домодедово 1 мая 2022 г.
Ural;5;5;Пролет прошел нормально!!!!!!
Ural;5;1;Отвратительное отношение
Ural;5;1;Регламент по возврату денег: ВОРЫ
Ural;5;1;100% КИДАЛОВО и  полное ДНО!
Ural;5;1;4-го декабря купил билеты на Кипр из Москвы в Ларнаку, 12.03 туда, 26.03 обратно. В связи с событиями рейсы были отменены. Это вынужденный возврат ! Написал соответствующее заявление, приложил все документы, выслал  на сайт авиалинии. Пришёл ответ - ожидайте, вопрос будет решен в течение 30 дней. Ответа далее не последовало. 22.03 выслал всё то же самое заказным письмом в Екатеринбург в офис авиакомпании, получил уведомление что письмо вручено  Сегодня 31е мая, возврата денег и ответа так и нет. Хотя по закону срок 30 дней. Дозвониться в авиакомпанию невозможно. Готовлю документы в Прокуратуру.
Ural;5;1;Ужаснее авиакомпании не видел. Желаю вам разориться. 
Ural;5;1;Лител с супругой приобрели билеты было на 2 билета 2 сумки 27 кг и 13 кг и рус кладь 1  сум 5 кг пришлось доплатить за багаж так как по весу не проходил и изменилась политика компании все против пассажира , далее нам выдали билеты с супругой в разных концах самолёта супруга одна литеиь не может есть небольшие проблемы с фобией пришлось и тут доплачивать сот посадили вместе , хорошо думаю больше денег с народа компания собирает так хоть летать будут во время, а нет рейс задержали а у нас рейс с пер насадкой  брали специально чтоб долго не сидеть в аэропорту и не бегать по аэропорту, в результате задержки если не опоздаем то придется побегать так что с изменением политики на агрессивный отьем денег у пасожиров улучшений в компании не появилось, я не рекомендую эту компанию для комфортного перелета семейным парам с пересадками 
Ural;5;5;Хорошие самолеты, пусть старенькие, но все исправно, билеты одни из самых выгодных по цене на рынке. Буду летать, буду рекомендовать
Ural;5;1;"По впд билет с пересадкой вы не возьмёте
Об этом говорят только по факту. За этим ответом я простоял около часа"
Ural;5;1;"Купила билеты, но небо закрыто!!! Написала письмо о возврате денежных средств, пришёл ответ с отказом, так как билеты куплены не возвратные. Получается, что надо ехать в аэропорт в день ""отправления самолёта"", который не полетит и только потом решать вопросы. Отпуск сорвался, очень жаль. Получается продают билеты заранее знают, что полет не состоится. У меня 6 билетов сумма получается не маленькая. "
Ural;5;1;"Схема обитания отлично работает.

Летел с Пулково, перед мной в очереди стояла бабашка, с ней разбирались минут 15.

За 3 минуты до конца регистрации я не выдержал и спросил что мне делал. Девушка вязал мой паспорт, сидела минут 4 а потом говорит что регистрация закончена. Идите в кассы Уральские авиалиний.

Там девушка говорит что мы вам билет не дадим, только если открыть регистрацию за 6к.

Отличный схематоз. Мочены такая мода наживаться на людях а не сделать нормальный бизнес, ориентированный на клиента.

Причём ни кто не объявлял что регистрации заканчивается и не предлагали пройти без очереди."
